epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4972.29,0.66595,0.49816,1.02728,0.9952,1,0.995,0.87506,0.6511,0.40985,0.84056,0.0006179,0.0006179,0.0006179
45,5085.46,0.68591,0.52269,1.05163,0.9893,1,0.995,0.88592,0.59426,0.39535,0.81213,0.000599037,0.000599037,0.000599037
46,5205.38,0.68203,0.49915,1.04794,0.99057,1,0.995,0.85429,0.67159,0.38577,0.85009,0.000580174,0.000580174,0.000580174
47,5315.46,0.65795,0.49751,1.02602,0.98623,1,0.995,0.83486,0.71602,0.43654,0.83389,0.000561311,0.000561311,0.000561311
48,5423.21,0.64605,0.48589,1.01785,0.99394,1,0.995,0.86416,0.70816,0.41725,0.84277,0.000542448,0.000542448,0.000542448
49,5531.78,0.64632,0.47128,1.02926,0.99144,1,0.995,0.85059,0.61923,0.40598,0.82321,0.000523586,0.000523586,0.000523586
50,5634.8,0.62116,0.471,1.02291,0.99663,1,0.995,0.82848,0.72008,0.42003,0.84002,0.000504723,0.000504723,0.000504723
51,5754.62,0.64806,0.48346,1.03846,0.9978,1,0.995,0.821,0.67624,0.41496,0.83275,0.00048586,0.00048586,0.00048586
52,5896.98,0.62828,0.48091,1.0089,0.99157,1,0.995,0.86772,0.60939,0.43641,0.82963,0.000466997,0.000466997,0.000466997
53,6004.94,0.61665,0.46079,1.01327,0.99352,1,0.995,0.83658,0.71244,0.40434,0.8229,0.000448134,0.000448134,0.000448134
54,6119.5,0.60868,0.44538,1.01174,0.99346,1,0.995,0.84392,0.68362,0.38959,0.82101,0.000429272,0.000429272,0.000429272
55,6222.7,0.61176,0.46099,1.00165,0.99415,1,0.995,0.81767,0.64232,0.38314,0.82559,0.000410409,0.000410409,0.000410409
56,6335.67,0.58441,0.42371,0.99167,0.99211,1,0.995,0.85155,0.69541,0.3742,0.83026,0.000391546,0.000391546,0.000391546
57,6451.36,0.58525,0.41219,0.98845,0.9939,1,0.995,0.84493,0.68744,0.37428,0.81473,0.000372683,0.000372683,0.000372683
58,6560.31,0.59826,0.4385,0.99569,0.99375,1,0.995,0.80513,0.76444,0.42521,0.85082,0.00035382,0.00035382,0.00035382
59,6675.2,0.59306,0.44295,1.00629,0.99083,1,0.995,0.8518,0.64273,0.36724,0.80978,0.000334958,0.000334958,0.000334958
60,6789.56,0.57856,0.41634,0.98601,0.95375,1,0.995,0.84894,0.6553,0.37471,0.8154,0.000316095,0.000316095,0.000316095
61,6898.52,0.56748,0.41968,0.98011,0.91383,1,0.995,0.85725,0.66611,0.35766,0.8114,0.000297232,0.000297232,0.000297232
62,7008.99,0.56285,0.41552,0.97858,0.99276,1,0.995,0.81054,0.7742,0.39601,0.83458,0.000278369,0.000278369,0.000278369
63,7117.55,0.58041,0.43219,1.00022,0.99043,1,0.995,0.84586,0.6941,0.37758,0.82129,0.000259506,0.000259506,0.000259506
64,7231.97,0.57085,0.41798,0.98957,0.91245,1,0.9875,0.86578,0.6434,0.44577,0.81539,0.000240644,0.000240644,0.000240644
65,7341.69,0.56175,0.40594,0.98801,0.90819,1,0.9875,0.84083,0.78438,0.4619,0.81931,0.000221781,0.000221781,0.000221781
66,7445.75,0.48773,0.36332,0.9093,0.94632,1,0.995,0.87256,0.60454,0.36459,0.79767,0.000202918,0.000202918,0.000202918
67,7554.47,0.48252,0.34004,0.90752,0.9934,1,0.995,0.81001,0.69234,0.36786,0.83382,0.000184055,0.000184055,0.000184055
68,7692.5,0.48115,0.32246,0.90072,0.97409,1,0.995,0.83895,0.66459,0.34918,0.80874,0.000165192,0.000165192,0.000165192
69,7802.34,0.47081,0.31414,0.90477,0.99515,1,0.995,0.84308,0.65374,0.35206,0.80382,0.00014633,0.00014633,0.00014633
70,7916.12,0.45714,0.31449,0.89937,0.99456,1,0.995,0.86101,0.62243,0.35277,0.80323,0.000127467,0.000127467,0.000127467
71,8025.84,0.45215,0.29735,0.89375,0.99412,1,0.995,0.8564,0.61362,0.36464,0.81079,0.000108604,0.000108604,0.000108604
72,8139.06,0.45366,0.29848,0.89071,0.9949,1,0.995,0.84174,0.68828,0.37132,0.81081,8.97412e-05,8.97412e-05,8.97412e-05
73,8248.78,0.4384,0.28914,0.88877,0.99495,1,0.995,0.85681,0.64653,0.36194,0.80922,7.08784e-05,7.08784e-05,7.08784e-05
74,8361.92,0.43544,0.28019,0.88308,0.99436,1,0.995,0.84745,0.70378,0.37686,0.81313,5.20156e-05,5.20156e-05,5.20156e-05
75,8470.1,0.42936,0.2847,0.88051,0.9944,1,0.995,0.85582,0.67759,0.36481,0.81152,3.31528e-05,3.31528e-05,3.31528e-05
